Gabriela Strzalkowska#312014#2022-04-12
 X, Y, Z, fi, lam, h
3664940.5 1409153.59 5009571.17 52.097272218412876 21.03153333279777 141.39858684502542
3664940.51 1409153.58 5009571.167 52.097272161110794 21.031533144230153 141.3997489735484
3664940.52 1409153.57 5009571.167 52.09727212037148 21.031532955662534 141.4032782651484
3664940.53 1409153.56 5009571.168 52.0972720851531 21.031532767094923 141.40759661234915
3664940.52 1409153.59 5009571.17 52.097272086035886 21.031533228061544 141.41005481407046
3664940.514 1409153.584 5009571.166 52.09727211893479 21.031533177762707 141.40213538799435
3664940.525 1409153.575 5009571.166 52.09727206903171 21.03153299757823 141.4064585492015
3664940.533 1409153.564 5009571.169 52.0972720606378 21.031532805864288 141.41098773945123
3664940.515 1409153.59 5009571.17 52.09727211913014 21.0315332542456 141.40718782134354
3664940.514 1409153.584 5009571.169 52.09727213549757 21.031533177762707 141.4045025538653
3664940.515 1409153.595 5009571.169 52.09727210088462 21.03153332234535 141.40750111360103
3664940.513 1409153.584 5009571.171 52.09727215315828 21.031533182999517 141.4055072637275





